code,name,market,board,asset_type,org_type,sector,index_membership
002050,三花智控,sz,main,stock,,家电零部件Ⅱ,hs300
002056,横店东磁,sz,main,stock,,光伏设备,csi500
002064,华峰化学,sz,main,stock,,化学纤维,csi500
002065,东华软件,sz,main,stock,,IT服务Ⅱ,csi500
002074,国轩高科,sz,main,stock,,电池,hs300
002078,太阳纸业,sz,main,stock,,造纸,csi500
002085,万丰奥威,sz,main,stock,,汽车零部件,csi500
002120,韵达股份,sz,main,stock,,物流,csi500
002126,银轮股份,sz,main,stock,,汽车零部件,csi500
002130,沃尔核材,sz,main,stock,,其他电子Ⅱ,csi500
002131,利欧股份,sz,main,stock,,通用设备,csi500
002138,顺络电子,sz,main,stock,,元件,csi500
002142,宁波银行,sz,main,stock,,银行Ⅱ,hs300
002152,广电运通,sz,main,stock,,计算机设备,csi500
002153,石基信息,sz,main,stock,,软件开发,csi500
002155,湖南黄金,sz,main,stock,,贵金属,csi500
002157,正邦科技,sz,main,stock,,养殖业,csi500
002179,中航光电,sz,main,stock,,军工电子Ⅱ,hs300
002185,华天科技,sz,main,stock,,半导体,csi500
002195,岩山科技,sz,main,stock,,IT服务Ⅱ,csi500
002202,金风科技,sz,main,stock,,风电设备,hs300
002203,海亮股份,sz,main,stock,,工业金属,csi500
002223,鱼跃医疗,sz,main,stock,,医疗器械,csi500
002230,科大讯飞,sz,main,stock,,软件开发,hs300
002236,大华股份,sz,main,stock,,计算机设备,hs300
002241,歌尔股份,sz,main,stock,,消费电子,hs300
002244,滨江集团,sz,main,stock,,房地产开发,csi500
002252,上海莱士,sz,main,stock,,生物制品,csi500
002261,拓维信息,sz,main,stock,,软件开发,csi500
002262,恩华药业,sz,main,stock,,化学制药,csi500
002265,建设工业,sz,main,stock,,汽车零部件,csi500
002266,浙富控股,sz,main,stock,,环境治理,csi500
002271,东方雨虹,sz,main,stock,,装修建材,csi500
002273,水晶光电,sz,main,stock,,光学光电子,csi500
002281,光迅科技,sz,main,stock,,通信设备,csi500
002299,圣农发展,sz,main,stock,,养殖业,csi500
002304,洋河股份,sz,main,stock,,白酒Ⅱ,hs300
002311,海大集团,sz,main,stock,,饲料,hs300
002312,川发龙蟒,sz,main,stock,,农化制品,csi500
002318,久立特材,sz,main,stock,,特钢Ⅱ,csi500
002335,科华数据,sz,main,stock,,其他电源设备Ⅱ,csi500
002340,格林美,sz,main,stock,,电池,csi500
002352,顺丰控股,sz,main,stock,,物流,hs300
002353,杰瑞股份,sz,main,stock,,专用设备,hs300
002371,北方华创,sz,main,stock,,半导体,hs300
002384,东山精密,sz,main,stock,,元件,hs300
002402,和而泰,sz,main,stock,,家电零部件Ⅱ,csi500
002407,多氟多,sz,main,stock,,化学制品,csi500
002409,雅克科技,sz,main,stock,,半导体,csi500
002410,广联达,sz,main,stock,,软件开发,csi500
002414,高德红外,sz,main,stock,,军工电子Ⅱ,csi500
002415,海康威视,sz,main,stock,,计算机设备,hs300
002422,科伦药业,sz,main,stock,,化学制药,hs300
002423,中粮资本,sz,main,stock,,多元金融,csi500
002429,兆驰股份,sz,main,stock,,黑色家电,csi500
002430,杭氧股份,sz,main,stock,,化学制品,csi500
002432,九安医疗,sz,main,stock,,医疗器械,csi500
002436,兴森科技,sz,main,stock,,元件,csi500
002444,巨星科技,sz,main,stock,,通用设备,csi500
002460,赣锋锂业,sz,main,stock,,能源金属,hs300
002461,珠江啤酒,sz,main,stock,,非白酒,csi500
002463,沪电股份,sz,main,stock,,元件,hs300
002465,海格通信,sz,main,stock,,军工电子Ⅱ,csi500
002466,天齐锂业,sz,main,stock,,能源金属,hs300
002472,双环传动,sz,main,stock,,汽车零部件,csi500
002475,立讯精密,sz,main,stock,,消费电子,hs300
002487,大金重工,sz,main,stock,,风电设备,csi500
002493,荣盛石化,sz,main,stock,,炼化及贸易,hs300
002500,山西证券,sz,main,stock,,证券Ⅱ,csi500
002508,老板电器,sz,main,stock,,厨卫电器,csi500
002517,恺英网络,sz,main,stock,,游戏Ⅱ,csi500
002532,天山铝业,sz,main,stock,,工业金属,hs300
002558,巨人网络,sz,main,stock,,游戏Ⅱ,hs300
002568,百润股份,sz,main,stock,,非白酒,csi500
002583,海能达,sz,main,stock,,通信设备,csi500
002594,比亚迪,sz,main,stock,,乘用车,hs300
002600,领益智造,sz,main,stock,,消费电子,hs300
002601,龙佰集团,sz,main,stock,,化学原料,csi500
002602,世纪华通,sz,main,stock,,游戏Ⅱ,hs300
002603,以岭药业,sz,main,stock,,中药Ⅱ,csi500
002608,江苏国信,sz,main,stock,,电力,csi500
002624,完美世界,sz,main,stock,,游戏Ⅱ,csi500
002625,光启技术,sz,main,stock,,航空装备Ⅱ,hs300
002648,卫星化学,sz,main,stock,,化学原料,hs300
002670,国盛证券,sz,main,stock,,证券Ⅱ,csi500
002673,西部证券,sz,main,stock,,证券Ⅱ,csi500
002683,广东宏大,sz,main,stock,,化学制品,csi500
